year,publisher,title,genres,console,max_players,review_score,sales,price 
2008,EA,NCAA Football 09,Sports,PlayStation 3,4,81,0.56,14.95
2008,EA,Tiger Woods PGA Tour 09,Sports,PlayStation 3,4,82,0.36,19.95
2008,EA,Madden NFL 09,Sports,PlayStation 3,4,85,1.66,14.95
2008,EA,NHL 09,Sports,PlayStation 3,1,88,0.31,19.95
2008,EA,Madden NFL 09,Sports,Sony PSP,4,68,0.68,14.95
2008,EA,Mercenaries 2: World in Flames,Action,X360,1,72,0.66,14.95
2008,EA,Battlefield: Bad Company,Action,X360,1,83,0.83,16.95
2008,EA,NFL Tour,Action Sports,X360,1,49,0.1,12.95
2008,EA,Need for Speed: Undercover,Racing,X360,1,64,0.66,17.95
2008,EA,NFL Head Coach 09,Strategy,X360,1,67,0.1,12.95
2008,EA,Madden NFL 09,Sports,X360,4,83,2.33,14.95
2008,EA,NCAA Football 09,Sports,X360,4,83,0.68,14.95
2008,EA,Tiger Woods PGA Tour 09,Sports,X360,4,84,0.37,19.95
2008,EA,NHL 09 ,Sports,X360,1,88,0.48,14.95
2008,EA,Command & Conquer 3: Kane's Wrath,Strategy,X360,1,75,0.15,17.95
2008,Eidos,Looney Tunes: Cartoon Conductor,Action,Nintendo DS,1,67,0.04,13.95
2008,Eidos,Tomb Raider: Underworld,Action,PlayStation 3,1,75,0.44,17.95
2008,Konami,New International Track & Field,Action Sports,Nintendo DS,1,73,0.05,14.95
2008,Konami,Lost in Blue 3,Role-Playing,Nintendo DS,1,59,0.1,17.95
2008,Konami,Castlevania: Order of Ecclesia,Role-Playing,Nintendo DS,1,85,0.24,24.95
2008,Konami,Target: Terror,Action,Nintendo Wii,1,33,0.07,17.95
2008,Konami,Castlevania Judgment,Action,Nintendo Wii,2,49,0.09,17.95
2008,Konami,Pro Evolution Soccer 2008,Sports,Nintendo Wii,2,83,0.1,17.95
2008,Konami,Metal Gear Solid 4: Guns of the Patriots,Action,PlayStation 3,1,94,2.58,22.95
2008,Konami,Hellboy: The Science of Evil,Adventure,PlayStation 3,2,47,0.09,16.95
